Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
SS Tiwary,Top-order batsman,"India,",26 years 306 days,Left-hand bat,,,"December 30, 1989, Jamshedpur, Bihar ",,,,Saurabh Sunil Tiwary,Rising Pune Supergiants,Left-arm,
Sohail Tanvir,Bowler,"Pakistan,",31 years 324 days,Left-hand bat,,,"December 12, 1984, Rawalpindi, Punjab ",,,,Sohail Tanvir,Rajasthan Royals,Left-arm,medium-fast
A Kumble,,"India,",46 years 14 days,Right-hand bat,,,"October 17, 1970, Bangalore, Karnataka ",,,,Anil Kumble,Royal Challengers Bangalore,Right-arm,legbreak
AM Rahane,Top-order batsman,"India,",28 years 147 days,Right-hand bat,,,"June 6, 1988, Ashwi-KD, Maharashtra ",,,,Ajinkya Madhukar Rahane,Rising Pune Supergiants,Right-arm,medium
DNT Zoysa,,"Sri Lanka,",38 years 171 days,Left-hand bat,,,"May 13, 1978, Colombo ",,,,Demuni Nuwan Tharanga Zoysa,Deccan Chargers,Left-arm,fast-medium
SD Chitnis,Batsman,"Kings XI Punjab,",29 years 178 days,Right-hand bat,,,"May 6, 1987, Bombay (now Mumbai), Maharashtra ",,,,Siddharth Dilip Chitnis,Kings XI Punjab,Right-arm,offbreak
Shoaib Malik,Middle-order batsman,"Pakistan,",34 years 273 days,Right-hand bat,,,"February 1, 1982, Sialkot, Punjab ",Brother - Adeel Malik,,,Shoaib Malik,Delhi Daredevils,Right-arm,offbreak
MK Tiwary,Batsman,"India,",30 years 352 days,Right-hand bat,,,"November 14, 1985, Howrah, Bengal ",,,,Manoj Kumar Tiwary,Delhi Daredevils,Right-arm,legbreak
KD Karthik,Wicketkeeper batsman,"India,",31 years 152 days,Right-hand bat,,,"June 1, 1985, Madras (now Chennai), Tamil Nad",,,,Krishnakumar Dinesh Karthik,Gujarat Lions,Right-arm,
TM Srivastava,Top-order batsman,"Deccan Chargers,",26 years 359 days,Left-hand bat,,,"November 7, 1989, Kanpur, Uttar Pradesh ",,,,Tanmay Manoj Srivastava,Kings XI Punjab,Right-arm,medium
B Chipli,Batsman,"Deccan Chargers,",33 years 278 days,Right-hand bat,,,"January 27, 1983, Sagar, Shivmoga, Karantaka ",,,,Bharat Chipli,Delhi Daredevils,Right-arm,medium
DW Steyn,Bowler,"South Africa,",33 years 126 days,Right-hand bat,,,"June 27, 1983, Phalaborwa ",,,,Dale Willem Steyn,Gujarat Lions,Right-arm,fast
JA Morkel,Bowling allrounder,"South Africa,",35 years 143 days,Left-hand bat,,,"June 10, 1981, Vereeniging, Transvaal ","Father - A Morkel,",,,Johannes Albertus Morkel,Rising Pune Supergiants,Right-arm,medium-fast
DB Das,,"Bengal,",30 years 39 days,Right-hand bat,,,"September 22, 1986, Siliguri, Bengal ",,,,Debabrata Baidya Das,Kolkata Knight Riders,Right-arm,legbreak
MK Pandey,Top-order batsman,"India,",27 years 51 days,Right-hand bat,,,"September 10, 1989, Nainital, Uttaranchal ",,,,Manish Krishnanand Pandey,Kolkata Knight Riders,Right-arm,medium
CRD Fernando,Bowler,"Sri Lanka,",37 years 104 days,Right-hand bat,,,"July 19, 1979, Colombo ",,,,Congenige Randhi Dilhara Fernando,Mumbai Indians,Right-arm,fast-medium
HH Gibbs,,"South Africa,",42 years 251 days,Right-hand bat,,,"February 23, 1974, Green Point, Cape Town, Cape Province ",,,,Herschelle Herman Gibbs,Mumbai Indians,Right-arm,
SE Marsh,Top-order batsman,"Australia,",33 years 114 days,Left-hand bat,,1.84 m,"July 9, 1983, Narrogin, Western Australia ","Father - GR Marsh,",,Sos,Shaun Edward Marsh,Kings XI Punjab,Left-arm,slow
Gagandeep Singh,,"India Green,",35 years 28 days,Right-hand bat,,,"October 3, 1981, Ludhiana, Punjab ",,,,Gagandeep Singh,NA,Right-arm,medium-fast
SA Asnodkar,Batsman,"Goa,",32 years 216 days,Right-hand bat,,,"March 29, 1984, Porvorim, Goa, India ",,,,Swapnil Ashok Asnodkar,Rajasthan Royals,Right-arm,offbreak
